2, 0.11762, 0.1156, 0.4097, 0.31504, 0.31576
1.5, 0.11762, 0.1156, 0.36238, 0.35658, 0.35453
1, 0.06858, 0.09194, 0.38578, 0.30769, 0.31121
0.8, 0.06007, 0.08581, 0.39555, 0.40084, 0.39508
0.6, 0.05613, 0.08184, 0.39046, 0.38025, 0.36344
0.4, 0.0372, 0.06462, 0.37896, 0.3797, 0.40143
0.2, 0.02345, 0.04626, 0.38152, 0.37772, 0.37683
0.1, 0.00479, 0.01783, 0.43605, 0.37221, 0.33892
0.08, 0.00288, 0.01187, 0.38645, 0.42215, 0.33107
0.06, 0.00089, 0.00684, 0.38099, 0.38095, 0.32426
0.04, 0.00013, 0.00212, 0.43275, 0.37414, 0.32019
0.02, 0.0, 0.00022, 0.41379, 0.50697, 0.44584
0.01, 0.0, 4e-05, 0.54242, 0.39277, 0.30697
0.008, 0.0, 9e-05, 0.37453, 0.38312, 0.31117
0.006, 0.0, 4e-05, 0.45801, 0.37969, 0.31376
0.004, 0.0, 4e-05, 0.37895, 0.37636, 0.31159
0.002, 0.0, 0.0, 0.40262, 0.40361, 0.30924
0.001, 0.0, 0.0, 0.42965, 0.37525, 0.30595
