2, 0.37848, 0.37351, 0.34715, 0.35498, 0.35589
1.5, 0.37848, 0.37351, 0.419, 0.46367, 0.41594
1, 0.24325, 0.46693, 0.53522, 0.37016, 0.3891
0.8, 0.21492, 0.49245, 0.47687, 0.44292, 0.46014
0.6, 0.20279, 0.50397, 0.47007, 0.43459, 0.42743
0.4, 0.14422, 0.56674, 0.45774, 0.73168, 0.9455
0.2, 0.09272, 0.59895, 0.5251, 0.67886, 0.53559
0.1, 0.02694, 0.70562, 0.56066, 0.43683, 0.4797
0.08, 0.01768, 0.7637, 0.44705, 0.4556, 0.37269
0.06, 0.00821, 0.84658, 0.47952, 0.45174, 0.40045
0.04, 0.00303, 0.93662, 0.53943, 0.4586, 0.38481
0.02, 0.00027, 0.9902, 0.47924, 0.46445, 0.43353
0.01, 9e-05, 0.99788, 0.52131, 0.56679, 0.37804
0.008, 0.0, 0.99898, 0.45718, 0.45736, 0.37353
0.006, 0.0, 0.99912, 0.52038, 0.44727, 0.42933
0.004, 0.0, 0.99943, 0.4796, 0.44101, 0.36771
0.002, 0.0, 0.99974, 0.46043, 0.44237, 0.42995
0.001, 0.0, 0.99996, 0.52189, 0.44568, 0.36936
