2, 2, 101370.0, 10572
2, 1, 95569.5, 28488
2, 0.5, 101650.5, 43953
2, 0.1, 123970.5, 62385
2, 0.05, 121291.5, 60690
2, 0.01, 120867.0, 60399
2, 0.005, 120852.0, 60378
2, 0.001, 120837.0, 60459
3, 2, 68952.0, 10527
3, 1, 65622.0, 27756
3, 0.5, 67587.0, 43806
3, 0.1, 83085.0, 62385
3, 0.05, 80854.0, 60690
3, 0.01, 80592.0, 60399
3, 0.005, 80574.0, 60378
3, 0.001, 80560.0, 60459
4, 2, 51495.0, 10206
4, 1, 50459.25, 27915
4, 0.5, 50488.5, 43635
4, 0.1, 62275.5, 62385
4, 0.05, 60693.0, 60690
4, 0.01, 60441.0, 60399
4, 0.005, 60429.0, 60378
4, 0.001, 60420.0, 60459
5, 2, 42066.0, 9783
5, 1, 40433.4, 27573
5, 0.5, 40609.8, 43815
5, 0.1, 49958.4, 62385
5, 0.05, 48571.2, 60690
5, 0.01, 48360.0, 60399
5, 0.005, 48342.0, 60378
5, 0.001, 48336.0, 60459
6, 2, 35439.5, 9837
6, 1, 33315.5, 27825
6, 0.5, 33867.5, 43809
6, 0.1, 41641.0, 62385
6, 0.05, 40475.5, 60690
6, 0.01, 40298.0, 60399
6, 0.005, 40286.0, 60378
6, 0.001, 40280.0, 60459
7, 2, 30128.571428571428, 9690
7, 1, 28615.714285714286, 28077
7, 0.5, 29094.0, 43803
7, 0.1, 35692.28571428572, 62385
7, 0.05, 34706.142857142855, 60690
7, 0.01, 34541.142857142855, 60399
7, 0.005, 34530.857142857145, 60378
7, 0.001, 34525.71428571428, 60459
8, 2, 26326.125, 10269
8, 1, 25078.125, 28089
8, 0.5, 25553.25, 43803
8, 0.1, 31286.25, 62385
8, 0.05, 30380.625, 60690
8, 0.01, 30223.5, 60399
8, 0.005, 30215.25, 60378
8, 0.001, 30210.0, 60459
9, 2, 23505.333333333332, 9309
9, 1, 22452.0, 27999
9, 0.5, 22550.333333333332, 43806
9, 0.1, 27798.666666666668, 62385
9, 0.05, 27015.666666666668, 60690
9, 0.01, 26862.0, 60399
9, 0.005, 26858.0, 60378
9, 0.001, 26853.333333333332, 60459
10, 2, 21187.2, 10260
10, 1, 20141.4, 27750
10, 0.5, 20349.6, 43803
10, 0.1, 25016.1, 62385
10, 0.05, 24302.1, 60690
10, 0.01, 24178.2, 60399
10, 0.005, 24172.8, 60378
10, 0.001, 24168.0, 60459
